Formula,OS,Date,"Oct 8 2022, 12:00AM - Apr 6 2023, 1:08PM"
Avg,Android,"Apr 1, 2023",97.95102040816327
Avg,Android,"Apr 2, 2023",159.596
Avg,Android,"Apr 3, 2023",105.7409090909091
Avg,Android,"Apr 4, 2023",99.8875
Avg,Android,"Apr 5, 2023",79.77948717948718
Avg,Android,"Dec 1, 2022",212.80133333333333
Avg,Android,"Dec 10, 2022",160.92676056338027
Avg,Android,"Dec 11, 2022",197.14935064935065
Avg,Android,"Dec 12, 2022",178.67166666666665
Avg,Android,"Dec 13, 2022",151.49054054054054
Avg,Android,"Dec 14, 2022",240.4558823529412
Avg,Android,"Dec 15, 2022",152.48166666666665
Avg,Android,"Dec 16, 2022",129.26764705882354
Avg,Android,"Dec 17, 2022",228.26119402985074
Avg,Android,"Dec 18, 2022",275.68939393939394
Avg,Android,"Dec 19, 2022",147.83333333333334
Avg,Android,"Dec 2, 2022",188.51728395061727
Avg,Android,"Dec 20, 2022",142.33442622950818
Avg,Android,"Dec 21, 2022",148.24237288135592
Avg,Android,"Dec 22, 2022",166.16129032258064
Avg,Android,"Dec 23, 2022",125.24305555555556
Avg,Android,"Dec 24, 2022",224.35999999999999
Avg,Android,"Dec 25, 2022",167.10461538461539
Avg,Android,"Dec 26, 2022",127.31044776119401
Avg,Android,"Dec 27, 2022",125.39848484848484
Avg,Android,"Dec 28, 2022",118.30181818181819
Avg,Android,"Dec 29, 2022",233.46935483870968
Avg,Android,"Dec 3, 2022",191.0681818181818
Avg,Android,"Dec 30, 2022",247.94
Avg,Android,"Dec 31, 2022",210.26037735849056
Avg,Android,"Dec 4, 2022",175.3739726027397
Avg,Android,"Dec 5, 2022",143.54202898550724
Avg,Android,"Dec 6, 2022",178.28354430379747
Avg,Android,"Dec 7, 2022",116.548
Avg,Android,"Dec 8, 2022",147.732
Avg,Android,"Dec 9, 2022",137.7565789473684
Avg,Android,"Feb 1, 2023",219.75925925925927
Avg,Android,"Feb 10, 2023",190.15645161290323
Avg,Android,"Feb 11, 2023",150.89999999999998
Avg,Android,"Feb 12, 2023",234.978431372549
Avg,Android,"Feb 13, 2023",151.79516129032257
Avg,Android,"Feb 14, 2023",128.5
Avg,Android,"Feb 15, 2023",187.6259259259259
Avg,Android,"Feb 16, 2023",171.47333333333333
Avg,Android,"Feb 17, 2023",146.6313725490196
Avg,Android,"Feb 18, 2023",119.49107142857143
Avg,Android,"Feb 19, 2023",172.11818181818182
Avg,Android,"Feb 2, 2023",376.41590909090905
Avg,Android,"Feb 20, 2023",129.36170212765958
Avg,Android,"Feb 21, 2023",116.2453125
Avg,Android,"Feb 22, 2023",153.73636363636362
Avg,Android,"Feb 23, 2023",99.18333333333334
Avg,Android,"Feb 24, 2023",204.5731707317073
Avg,Android,"Feb 25, 2023",109.54249999999999
Avg,Android,"Feb 26, 2023",149.07666666666668
Avg,Android,"Feb 27, 2023",105.63272727272728
Avg,Android,"Feb 28, 2023",160.77692307692308
Avg,Android,"Feb 3, 2023",176.95094339622642
Avg,Android,"Feb 4, 2023",98.83500000000001
Avg,Android,"Feb 5, 2023",106.904
Avg,Android,"Feb 6, 2023",127.7622641509434
Avg,Android,"Feb 7, 2023",142.44528301886794
Avg,Android,"Feb 8, 2023",172.78947368421052
Avg,Android,"Feb 9, 2023",153.74444444444444
Avg,Android,"Jan 1, 2023",288.67
Avg,Android,"Jan 10, 2023",157.74545454545455
Avg,Android,"Jan 11, 2023",181.26101694915255
Avg,Android,"Jan 12, 2023",257.03035714285716
Avg,Android,"Jan 13, 2023",153.61320754716982
Avg,Android,"Jan 14, 2023",295.9578125
Avg,Android,"Jan 15, 2023",174.50434782608696
Avg,Android,"Jan 16, 2023",219.60172413793103
Avg,Android,"Jan 17, 2023",156.26103896103896
Avg,Android,"Jan 18, 2023",181.6318181818182
Avg,Android,"Jan 19, 2023",212.5796296296296
Avg,Android,"Jan 2, 2023",117.28484848484848
Avg,Android,"Jan 20, 2023",146.15846153846152
Avg,Android,"Jan 21, 2023",112.68214285714285
Avg,Android,"Jan 22, 2023",199.12456140350878
Avg,Android,"Jan 23, 2023",128.84561403508772
Avg,Android,"Jan 24, 2023",138.78275862068966
Avg,Android,"Jan 25, 2023",147.67142857142858
Avg,Android,"Jan 26, 2023",171.84074074074073
Avg,Android,"Jan 27, 2023",138.87846153846155
Avg,Android,"Jan 28, 2023",121.59836065573771
Avg,Android,"Jan 29, 2023",263.24666666666667
Avg,Android,"Jan 3, 2023",143.76818181818183
Avg,Android,"Jan 30, 2023",220.721875
Avg,Android,"Jan 31, 2023",166.12333333333333
Avg,Android,"Jan 4, 2023",132.29393939393938
Avg,Android,"Jan 5, 2023",128.45396825396827
Avg,Android,"Jan 6, 2023",226.1274193548387
Avg,Android,"Jan 7, 2023",167.0327868852459
Avg,Android,"Jan 8, 2023",173.70975609756098
Avg,Android,"Jan 9, 2023",142.89701492537313
Avg,Android,"Mar 1, 2023",164.2051282051282
Avg,Android,"Mar 10, 2023",133.90217391304347
Avg,Android,"Mar 11, 2023",282.5341463414634
Avg,Android,"Mar 12, 2023",159.25555555555556
Avg,Android,"Mar 13, 2023",177.28837209302324
Avg,Android,"Mar 14, 2023",154.3108695652174
Avg,Android,"Mar 15, 2023",152.07872340425533
Avg,Android,"Mar 16, 2023",109.95454545454545
Avg,Android,"Mar 17, 2023",117.37446808510639
Avg,Android,"Mar 18, 2023",115.09318181818183
Avg,Android,"Mar 19, 2023",203.6326530612245
Avg,Android,"Mar 2, 2023",208.53720930232558
Avg,Android,"Mar 20, 2023",118.50178571428572
Avg,Android,"Mar 21, 2023",144.78536585365853
Avg,Android,"Mar 22, 2023",163.70540540540543
Avg,Android,"Mar 23, 2023",87.97272727272728
Avg,Android,"Mar 24, 2023",147.76666666666668
Avg,Android,"Mar 25, 2023",183.98571428571427
Avg,Android,"Mar 26, 2023",129.93157894736842
Avg,Android,"Mar 27, 2023",151.66
Avg,Android,"Mar 28, 2023",134.03181818181818
Avg,Android,"Mar 29, 2023",180.59444444444446
Avg,Android,"Mar 3, 2023",114.75681818181819
Avg,Android,"Mar 30, 2023",186.72777777777776
Avg,Android,"Mar 31, 2023",171.38541666666666
Avg,Android,"Mar 4, 2023",91.7720930232558
Avg,Android,"Mar 5, 2023",154.28297872340426
Avg,Android,"Mar 6, 2023",125.08571428571429
Avg,Android,"Mar 7, 2023",116.71555555555555
Avg,Android,"Mar 8, 2023",155.04722222222222
Avg,Android,"Mar 9, 2023",99.47999999999999
Avg,Android,"Nov 1, 2022",218.60490196078433
Avg,Android,"Nov 10, 2022",174.5
Avg,Android,"Nov 11, 2022",167.13095238095238
Avg,Android,"Nov 12, 2022",217.42857142857142
Avg,Android,"Nov 13, 2022",274.2526315789474
Avg,Android,"Nov 14, 2022",152.40208333333334
Avg,Android,"Nov 15, 2022",172.3372093023256
Avg,Android,"Nov 16, 2022",207.1
Avg,Android,"Nov 17, 2022",165.4720588235294
Avg,Android,"Nov 18, 2022",172.47323943661974
Avg,Android,"Nov 19, 2022",212.6148148148148
Avg,Android,"Nov 2, 2022",231.0979381443299
Avg,Android,"Nov 20, 2022",193.87674418604652
Avg,Android,"Nov 21, 2022",140.57894736842104
Avg,Android,"Nov 22, 2022",202.31643835616438
Avg,Android,"Nov 23, 2022",162.65844155844158
Avg,Android,"Nov 24, 2022",240.58840579710142
Avg,Android,"Nov 25, 2022",152.61466666666666
Avg,Android,"Nov 26, 2022",181.996
Avg,Android,"Nov 27, 2022",218.45180722891567
Avg,Android,"Nov 28, 2022",142.640350877193
Avg,Android,"Nov 29, 2022",179.7761904761905
Avg,Android,"Nov 3, 2022",150.58144329896908
Avg,Android,"Nov 30, 2022",167.18783783783783
Avg,Android,"Nov 4, 2022",173.25106382978723
Avg,Android,"Nov 5, 2022",163.39438202247192
Avg,Android,"Nov 6, 2022",200.6315789473684
Avg,Android,"Nov 7, 2022",163.5135802469136
Avg,Android,"Nov 8, 2022",133.51829268292684
Avg,Android,"Nov 9, 2022",184.24166666666665
Avg,Android,"Oct 10, 2022",243.45833333333334
Avg,Android,"Oct 11, 2022",211.7511111111111
Avg,Android,"Oct 12, 2022",210.18705882352944
Avg,Android,"Oct 13, 2022",229.84074074074073
Avg,Android,"Oct 14, 2022",283.7371134020619
Avg,Android,"Oct 15, 2022",230.0887755102041
Avg,Android,"Oct 16, 2022",202.96764705882353
Avg,Android,"Oct 17, 2022",196.63980582524275
Avg,Android,"Oct 18, 2022",210.70754716981133
Avg,Android,"Oct 19, 2022",254.088
Avg,Android,"Oct 20, 2022",347.50967741935483
Avg,Android,"Oct 21, 2022",280.68125000000003
Avg,Android,"Oct 22, 2022",285.3362831858407
Avg,Android,"Oct 23, 2022",240.9325581395349
Avg,Android,"Oct 24, 2022",208.25581395348837
Avg,Android,"Oct 25, 2022",257.0206896551724
Avg,Android,"Oct 26, 2022",288.5111111111111
Avg,Android,"Oct 27, 2022",361.207299270073
Avg,Android,"Oct 28, 2022",168.18141592920355
Avg,Android,"Oct 29, 2022",228.46509433962262
Avg,Android,"Oct 30, 2022",211.60515463917525
Avg,Android,"Oct 31, 2022",190.4182795698925
Avg,Android,"Oct 7, 2022",274.17121212121214
Avg,Android,"Oct 8, 2022",223.03846153846155
Avg,Android,"Oct 9, 2022",267.51951219512193
Avg,iOS,"Apr 1, 2023",78.01875
Avg,iOS,"Apr 2, 2023",207.45000000000002
Avg,iOS,"Apr 3, 2023",211.45714285714288
Avg,iOS,"Apr 4, 2023",112.65625
Avg,iOS,"Apr 5, 2023",153.76875
Avg,iOS,"Dec 1, 2022",135.81153846153845
Avg,iOS,"Dec 10, 2022",79.06363636363636
Avg,iOS,"Dec 11, 2022",163.1709677419355
Avg,iOS,"Dec 12, 2022",105.89999999999999
Avg,iOS,"Dec 13, 2022",68.13600000000001
Avg,iOS,"Dec 14, 2022",83.29411764705883
Avg,iOS,"Dec 15, 2022",80.60714285714286
Avg,iOS,"Dec 16, 2022",85.50588235294117
Avg,iOS,"Dec 17, 2022",100.60303030303031
Avg,iOS,"Dec 18, 2022",99.91891891891892
Avg,iOS,"Dec 19, 2022",64.28260869565217
Avg,iOS,"Dec 2, 2022",142.92727272727274
Avg,iOS,"Dec 20, 2022",86.16956521739131
Avg,iOS,"Dec 21, 2022",95.60769230769232
Avg,iOS,"Dec 22, 2022",96.0608695652174
Avg,iOS,"Dec 23, 2022",170.572
Avg,iOS,"Dec 24, 2022",131.248
Avg,iOS,"Dec 25, 2022",134.01538461538462
Avg,iOS,"Dec 26, 2022",115.5030303030303
Avg,iOS,"Dec 27, 2022",140.36190476190475
Avg,iOS,"Dec 28, 2022",123.03
Avg,iOS,"Dec 29, 2022",97.82333333333332
Avg,iOS,"Dec 3, 2022",151.45217391304348
Avg,iOS,"Dec 30, 2022",163.67600000000002
Avg,iOS,"Dec 31, 2022",168.78709677419354
Avg,iOS,"Dec 4, 2022",148.188
Avg,iOS,"Dec 5, 2022",85.02307692307691
Avg,iOS,"Dec 6, 2022",99.590625
Avg,iOS,"Dec 7, 2022",94.725
Avg,iOS,"Dec 8, 2022",115.00344827586207
Avg,iOS,"Dec 9, 2022",69.40869565217392
Avg,iOS,"Feb 1, 2023",161.776
Avg,iOS,"Feb 10, 2023",149.97391304347826
Avg,iOS,"Feb 11, 2023",139.25384615384615
Avg,iOS,"Feb 12, 2023",133.1478260869565
Avg,iOS,"Feb 13, 2023",120.9375
Avg,iOS,"Feb 14, 2023",107.32
Avg,iOS,"Feb 15, 2023",103.8103448275862
Avg,iOS,"Feb 16, 2023",109.14761904761905
Avg,iOS,"Feb 17, 2023",67.63684210526316
Avg,iOS,"Feb 18, 2023",75.976
Avg,iOS,"Feb 19, 2023",94.74545454545455
Avg,iOS,"Feb 2, 2023",100.68
Avg,iOS,"Feb 20, 2023",115.34285714285713
Avg,iOS,"Feb 21, 2023",62.926315789473676
Avg,iOS,"Feb 22, 2023",95.34444444444445
Avg,iOS,"Feb 23, 2023",224.81176470588235
Avg,iOS,"Feb 24, 2023",87.40357142857144
Avg,iOS,"Feb 25, 2023",127.944
Avg,iOS,"Feb 26, 2023",92.34418604651164
Avg,iOS,"Feb 27, 2023",133.6625
Avg,iOS,"Feb 28, 2023",200.05
Avg,iOS,"Feb 3, 2023",174.6681818181818
Avg,iOS,"Feb 4, 2023",102.07
Avg,iOS,"Feb 5, 2023",190.425
Avg,iOS,"Feb 6, 2023",115.5
Avg,iOS,"Feb 7, 2023",57.487500000000004
Avg,iOS,"Feb 8, 2023",66.31363636363636
Avg,iOS,"Feb 9, 2023",62.68181818181818
Avg,iOS,"Jan 1, 2023",203.40882352941176
Avg,iOS,"Jan 10, 2023",148.928125
Avg,iOS,"Jan 11, 2023",180.00799999999998
Avg,iOS,"Jan 12, 2023",342.0451612903226
Avg,iOS,"Jan 13, 2023",69.49130434782609
Avg,iOS,"Jan 14, 2023",100.71818181818183
Avg,iOS,"Jan 15, 2023",93.8608695652174
Avg,iOS,"Jan 16, 2023",80.0875
Avg,iOS,"Jan 17, 2023",129.1909090909091
Avg,iOS,"Jan 18, 2023",88.05416666666667
Avg,iOS,"Jan 19, 2023",112.05357142857143
Avg,iOS,"Jan 2, 2023",99.84166666666665
Avg,iOS,"Jan 20, 2023",157.15714285714284
Avg,iOS,"Jan 21, 2023",125.11818181818181
Avg,iOS,"Jan 22, 2023",139.04090909090908
Avg,iOS,"Jan 23, 2023",186.3037037037037
Avg,iOS,"Jan 24, 2023",169.32916666666668
Avg,iOS,"Jan 25, 2023",103.209375
Avg,iOS,"Jan 26, 2023",112.5304347826087
Avg,iOS,"Jan 27, 2023",107.940625
Avg,iOS,"Jan 28, 2023",132.2
Avg,iOS,"Jan 29, 2023",65.85909090909091
Avg,iOS,"Jan 3, 2023",106.38499999999999
Avg,iOS,"Jan 30, 2023",128.69166666666666
Avg,iOS,"Jan 31, 2023",83.08749999999999
Avg,iOS,"Jan 4, 2023",124.544
Avg,iOS,"Jan 5, 2023",154.31363636363636
Avg,iOS,"Jan 6, 2023",103.148
Avg,iOS,"Jan 7, 2023",305.25925925925924
Avg,iOS,"Jan 8, 2023",114.50666666666666
Avg,iOS,"Jan 9, 2023",86.49130434782609
Avg,iOS,"Mar 1, 2023",126.25625
Avg,iOS,"Mar 10, 2023",79.61304347826086
Avg,iOS,"Mar 11, 2023",137.9157894736842
Avg,iOS,"Mar 12, 2023",120.16666666666667
Avg,iOS,"Mar 13, 2023",91.43157894736842
Avg,iOS,"Mar 14, 2023",98.84545454545454
Avg,iOS,"Mar 15, 2023",157.24285714285716
Avg,iOS,"Mar 16, 2023",66.90666666666667
Avg,iOS,"Mar 17, 2023",87.544
Avg,iOS,"Mar 18, 2023",209.625
Avg,iOS,"Mar 19, 2023",122.26521739130435
Avg,iOS,"Mar 2, 2023",76.31052631578947
Avg,iOS,"Mar 20, 2023",105.77777777777777
Avg,iOS,"Mar 21, 2023",66.65454545454546
Avg,iOS,"Mar 22, 2023",83.36666666666666
Avg,iOS,"Mar 23, 2023",152.02
Avg,iOS,"Mar 24, 2023",99.86363636363636
Avg,iOS,"Mar 25, 2023",132.7111111111111
Avg,iOS,"Mar 26, 2023",192.1818181818182
Avg,iOS,"Mar 27, 2023",95.11818181818181
Avg,iOS,"Mar 28, 2023",60.15555555555555
Avg,iOS,"Mar 29, 2023",81.47222222222223
Avg,iOS,"Mar 3, 2023",73.28095238095239
Avg,iOS,"Mar 30, 2023",125.48235294117646
Avg,iOS,"Mar 31, 2023",170.64999999999998
Avg,iOS,"Mar 4, 2023",136.5894736842105
Avg,iOS,"Mar 5, 2023",106.25185185185185
Avg,iOS,"Mar 6, 2023",66.85238095238095
Avg,iOS,"Mar 7, 2023",77.46666666666667
Avg,iOS,"Mar 8, 2023",129.78125
Avg,iOS,"Mar 9, 2023",186.52666666666667
Avg,iOS,"Nov 1, 2022",97.73333333333333
Avg,iOS,"Nov 10, 2022",103.696875
Avg,iOS,"Nov 11, 2022",229.00789473684208
Avg,iOS,"Nov 12, 2022",85.7051282051282
Avg,iOS,"Nov 13, 2022",110.28148148148148
Avg,iOS,"Nov 14, 2022",73.275
Avg,iOS,"Nov 15, 2022",150.64193548387095
Avg,iOS,"Nov 16, 2022",69.23030303030303
Avg,iOS,"Nov 17, 2022",80.71153846153847
Avg,iOS,"Nov 18, 2022",111.77272727272727
Avg,iOS,"Nov 19, 2022",144.075
Avg,iOS,"Nov 2, 2022",114.32750000000001
Avg,iOS,"Nov 20, 2022",104.13666666666667
Avg,iOS,"Nov 21, 2022",115.50882352941177
Avg,iOS,"Nov 22, 2022",77.42631578947368
Avg,iOS,"Nov 23, 2022",96.6891891891892
Avg,iOS,"Nov 24, 2022",158.66875
Avg,iOS,"Nov 25, 2022",184.672
Avg,iOS,"Nov 26, 2022",90.5076923076923
Avg,iOS,"Nov 27, 2022",121.97878787878788
Avg,iOS,"Nov 28, 2022",121.25961538461539
Avg,iOS,"Nov 29, 2022",99.33999999999999
Avg,iOS,"Nov 3, 2022",179.93947368421053
Avg,iOS,"Nov 30, 2022",108.81724137931033
Avg,iOS,"Nov 4, 2022",181.1054054054054
Avg,iOS,"Nov 5, 2022",115.16153846153847
Avg,iOS,"Nov 6, 2022",154.26749999999998
Avg,iOS,"Nov 7, 2022",105.91818181818181
Avg,iOS,"Nov 8, 2022",121.0578947368421
Avg,iOS,"Nov 9, 2022",170.9142857142857
Avg,iOS,"Oct 10, 2022",215.23902439024388
Avg,iOS,"Oct 11, 2022",170.114
Avg,iOS,"Oct 12, 2022",234.56739130434784
Avg,iOS,"Oct 13, 2022",259.8816326530612
Avg,iOS,"Oct 14, 2022",224.94468085106382
Avg,iOS,"Oct 15, 2022",217.446
Avg,iOS,"Oct 16, 2022",160.34727272727272
Avg,iOS,"Oct 17, 2022",80.54081632653062
Avg,iOS,"Oct 18, 2022",170.345
Avg,iOS,"Oct 19, 2022",169.34473684210528
Avg,iOS,"Oct 20, 2022",199.33809523809526
Avg,iOS,"Oct 21, 2022",180.1813953488372
Avg,iOS,"Oct 22, 2022",142.8409090909091
Avg,iOS,"Oct 23, 2022",150.26341463414636
Avg,iOS,"Oct 24, 2022",110.46764705882353
Avg,iOS,"Oct 25, 2022",96.0
Avg,iOS,"Oct 26, 2022",232.4969696969697
Avg,iOS,"Oct 27, 2022",248.0625
Avg,iOS,"Oct 28, 2022",179.30697674418604
Avg,iOS,"Oct 29, 2022",197.40625
Avg,iOS,"Oct 30, 2022",161.5611111111111
Avg,iOS,"Oct 31, 2022",95.07619047619048
Avg,iOS,"Oct 7, 2022",293.4125
Avg,iOS,"Oct 8, 2022",170.2595238095238
Avg,iOS,"Oct 9, 2022",167.3736842105263
