Date,Event,OS,"Oct 8 2022, 12:00AM - Apr 6 2023, 3:50PM"
2022-10-08,App Session - DAU,Android,3
2022-10-08,App Session - DAU,iOS,3
2022-10-08,App Session - DAU,iPadOS,0
2022-10-08,App Session - DAU,macOS,1
2022-10-09,App Session - DAU,Android,1
2022-10-09,App Session - DAU,iOS,2
2022-10-09,App Session - DAU,iPadOS,0
2022-10-09,App Session - DAU,macOS,0
2022-10-10,App Session - DAU,Android,1
2022-10-10,App Session - DAU,iOS,1
2022-10-10,App Session - DAU,iPadOS,0
2022-10-10,App Session - DAU,macOS,1
2022-10-11,App Session - DAU,Android,2
2022-10-11,App Session - DAU,iOS,5
2022-10-11,App Session - DAU,iPadOS,0
2022-10-11,App Session - DAU,macOS,0
2022-10-12,App Session - DAU,Android,0
2022-10-12,App Session - DAU,iOS,2
2022-10-12,App Session - DAU,iPadOS,0
2022-10-12,App Session - DAU,macOS,0
2022-10-13,App Session - DAU,Android,7
2022-10-13,App Session - DAU,iOS,4
2022-10-13,App Session - DAU,iPadOS,0
2022-10-13,App Session - DAU,macOS,0
2022-10-14,App Session - DAU,Android,3
2022-10-14,App Session - DAU,iOS,4
2022-10-14,App Session - DAU,iPadOS,0
2022-10-14,App Session - DAU,macOS,0
2022-10-15,App Session - DAU,Android,1
2022-10-15,App Session - DAU,iOS,2
2022-10-15,App Session - DAU,iPadOS,0
2022-10-15,App Session - DAU,macOS,0
2022-10-16,App Session - DAU,Android,2
2022-10-16,App Session - DAU,iOS,3
2022-10-16,App Session - DAU,iPadOS,0
2022-10-16,App Session - DAU,macOS,0
2022-10-17,App Session - DAU,Android,6
2022-10-17,App Session - DAU,iOS,5
2022-10-17,App Session - DAU,iPadOS,0
2022-10-17,App Session - DAU,macOS,1
2022-10-18,App Session - DAU,Android,3
2022-10-18,App Session - DAU,iOS,2
2022-10-18,App Session - DAU,iPadOS,0
2022-10-18,App Session - DAU,macOS,0
2022-10-19,App Session - DAU,Android,4
2022-10-19,App Session - DAU,iOS,4
2022-10-19,App Session - DAU,iPadOS,0
2022-10-19,App Session - DAU,macOS,0
2022-10-20,App Session - DAU,Android,7
2022-10-20,App Session - DAU,iOS,5
2022-10-20,App Session - DAU,iPadOS,0
2022-10-20,App Session - DAU,macOS,0
2022-10-21,App Session - DAU,Android,2
2022-10-21,App Session - DAU,iOS,2
2022-10-21,App Session - DAU,iPadOS,1
2022-10-21,App Session - DAU,macOS,0
2022-10-22,App Session - DAU,Android,12
2022-10-22,App Session - DAU,iOS,4
2022-10-22,App Session - DAU,iPadOS,0
2022-10-22,App Session - DAU,macOS,0
2022-10-23,App Session - DAU,Android,2
2022-10-23,App Session - DAU,iOS,3
2022-10-23,App Session - DAU,iPadOS,0
2022-10-23,App Session - DAU,macOS,0
2022-10-24,App Session - DAU,Android,2
2022-10-24,App Session - DAU,iOS,1
2022-10-24,App Session - DAU,iPadOS,0
2022-10-24,App Session - DAU,macOS,0
2022-10-25,App Session - DAU,Android,6
2022-10-25,App Session - DAU,iOS,3
2022-10-25,App Session - DAU,iPadOS,0
2022-10-25,App Session - DAU,macOS,0
2022-10-26,App Session - DAU,Android,12
2022-10-26,App Session - DAU,iOS,4
2022-10-26,App Session - DAU,iPadOS,0
2022-10-26,App Session - DAU,macOS,4
2022-10-27,App Session - DAU,Android,7
2022-10-27,App Session - DAU,iOS,6
2022-10-27,App Session - DAU,iPadOS,0
2022-10-27,App Session - DAU,macOS,0
2022-10-28,App Session - DAU,Android,8
2022-10-28,App Session - DAU,iOS,2
2022-10-28,App Session - DAU,iPadOS,0
2022-10-28,App Session - DAU,macOS,1
2022-10-29,App Session - DAU,Android,5
2022-10-29,App Session - DAU,iOS,4
2022-10-29,App Session - DAU,iPadOS,1
2022-10-29,App Session - DAU,macOS,0
2022-10-30,App Session - DAU,Android,4
2022-10-30,App Session - DAU,iOS,3
2022-10-30,App Session - DAU,iPadOS,0
2022-10-30,App Session - DAU,macOS,0
2022-10-31,App Session - DAU,Android,4
2022-10-31,App Session - DAU,iOS,3
2022-10-31,App Session - DAU,iPadOS,0
2022-10-31,App Session - DAU,macOS,1
2022-11-01,App Session - DAU,Android,5
2022-11-01,App Session - DAU,iOS,4
2022-11-01,App Session - DAU,iPadOS,0
2022-11-01,App Session - DAU,macOS,0
2022-11-02,App Session - DAU,Android,5
2022-11-02,App Session - DAU,iOS,4
2022-11-02,App Session - DAU,iPadOS,0
2022-11-02,App Session - DAU,macOS,0
2022-11-03,App Session - DAU,Android,12
2022-11-03,App Session - DAU,iOS,4
2022-11-03,App Session - DAU,iPadOS,0
2022-11-03,App Session - DAU,macOS,1
2022-11-04,App Session - DAU,Android,7
2022-11-04,App Session - DAU,iOS,2
2022-11-04,App Session - DAU,iPadOS,1
2022-11-04,App Session - DAU,macOS,0
2022-11-05,App Session - DAU,Android,5
2022-11-05,App Session - DAU,iOS,2
2022-11-05,App Session - DAU,iPadOS,0
2022-11-05,App Session - DAU,macOS,1
2022-11-06,App Session - DAU,Android,3
2022-11-06,App Session - DAU,iOS,1
2022-11-06,App Session - DAU,iPadOS,0
2022-11-06,App Session - DAU,macOS,0
2022-11-07,App Session - DAU,Android,5
2022-11-07,App Session - DAU,iOS,1
2022-11-07,App Session - DAU,iPadOS,1
2022-11-07,App Session - DAU,macOS,0
2022-11-08,App Session - DAU,Android,4
2022-11-08,App Session - DAU,iOS,1
2022-11-08,App Session - DAU,iPadOS,0
2022-11-08,App Session - DAU,macOS,0
2022-11-09,App Session - DAU,Android,7
2022-11-09,App Session - DAU,iOS,3
2022-11-09,App Session - DAU,iPadOS,0
2022-11-09,App Session - DAU,macOS,0
2022-11-10,App Session - DAU,Android,7
2022-11-10,App Session - DAU,iOS,3
2022-11-10,App Session - DAU,iPadOS,0
2022-11-10,App Session - DAU,macOS,0
2022-11-11,App Session - DAU,Android,6
2022-11-11,App Session - DAU,iOS,3
2022-11-11,App Session - DAU,iPadOS,0
2022-11-11,App Session - DAU,macOS,0
2022-11-12,App Session - DAU,Android,6
2022-11-12,App Session - DAU,iOS,1
2022-11-12,App Session - DAU,iPadOS,0
2022-11-12,App Session - DAU,macOS,0
2022-11-13,App Session - DAU,Android,7
2022-11-13,App Session - DAU,iOS,1
2022-11-13,App Session - DAU,iPadOS,0
2022-11-13,App Session - DAU,macOS,0
2022-11-14,App Session - DAU,Android,7
2022-11-14,App Session - DAU,iOS,1
2022-11-14,App Session - DAU,iPadOS,0
2022-11-14,App Session - DAU,macOS,0
2022-11-15,App Session - DAU,Android,8
2022-11-15,App Session - DAU,iOS,0
2022-11-15,App Session - DAU,iPadOS,0
2022-11-15,App Session - DAU,macOS,0
2022-11-16,App Session - DAU,Android,6
2022-11-16,App Session - DAU,iOS,2
2022-11-16,App Session - DAU,iPadOS,0
2022-11-16,App Session - DAU,macOS,0
2022-11-17,App Session - DAU,Android,6
2022-11-17,App Session - DAU,iOS,3
2022-11-17,App Session - DAU,iPadOS,0
2022-11-17,App Session - DAU,macOS,0
2022-11-18,App Session - DAU,Android,6
2022-11-18,App Session - DAU,iOS,4
2022-11-18,App Session - DAU,iPadOS,0
2022-11-18,App Session - DAU,macOS,0
2022-11-19,App Session - DAU,Android,9
2022-11-19,App Session - DAU,iOS,1
2022-11-19,App Session - DAU,iPadOS,0
2022-11-19,App Session - DAU,macOS,0
2022-11-20,App Session - DAU,Android,7
2022-11-20,App Session - DAU,iOS,2
2022-11-20,App Session - DAU,iPadOS,0
2022-11-20,App Session - DAU,macOS,0
2022-11-21,App Session - DAU,Android,7
2022-11-21,App Session - DAU,iOS,2
2022-11-21,App Session - DAU,iPadOS,0
2022-11-21,App Session - DAU,macOS,0
2022-11-22,App Session - DAU,Android,8
2022-11-22,App Session - DAU,iOS,2
2022-11-22,App Session - DAU,iPadOS,0
2022-11-22,App Session - DAU,macOS,1
2022-11-23,App Session - DAU,Android,7
2022-11-23,App Session - DAU,iOS,4
2022-11-23,App Session - DAU,iPadOS,0
2022-11-23,App Session - DAU,macOS,0
2022-11-24,App Session - DAU,Android,6
2022-11-24,App Session - DAU,iOS,2
2022-11-24,App Session - DAU,iPadOS,0
2022-11-24,App Session - DAU,macOS,1
2022-11-25,App Session - DAU,Android,6
2022-11-25,App Session - DAU,iOS,0
2022-11-25,App Session - DAU,iPadOS,0
2022-11-25,App Session - DAU,macOS,0
2022-11-26,App Session - DAU,Android,2
2022-11-26,App Session - DAU,iOS,0
2022-11-26,App Session - DAU,iPadOS,0
2022-11-26,App Session - DAU,macOS,0
2022-11-27,App Session - DAU,Android,4
2022-11-27,App Session - DAU,iOS,3
2022-11-27,App Session - DAU,iPadOS,0
2022-11-27,App Session - DAU,macOS,0
2022-11-28,App Session - DAU,Android,11
2022-11-28,App Session - DAU,iOS,4
2022-11-28,App Session - DAU,iPadOS,0
2022-11-28,App Session - DAU,macOS,0
2022-11-29,App Session - DAU,Android,9
2022-11-29,App Session - DAU,iOS,2
2022-11-29,App Session - DAU,iPadOS,0
2022-11-29,App Session - DAU,macOS,0
2022-11-30,App Session - DAU,Android,6
2022-11-30,App Session - DAU,iOS,1
2022-11-30,App Session - DAU,iPadOS,0
2022-11-30,App Session - DAU,macOS,0
2022-12-01,App Session - DAU,Android,7
2022-12-01,App Session - DAU,iOS,1
2022-12-01,App Session - DAU,iPadOS,0
2022-12-01,App Session - DAU,macOS,0
2022-12-02,App Session - DAU,Android,8
2022-12-02,App Session - DAU,iOS,3
2022-12-02,App Session - DAU,iPadOS,0
2022-12-02,App Session - DAU,macOS,0
2022-12-03,App Session - DAU,Android,4
2022-12-03,App Session - DAU,iOS,2
2022-12-03,App Session - DAU,iPadOS,0
2022-12-03,App Session - DAU,macOS,0
2022-12-04,App Session - DAU,Android,3
2022-12-04,App Session - DAU,iOS,1
2022-12-04,App Session - DAU,iPadOS,0
2022-12-04,App Session - DAU,macOS,0
2022-12-05,App Session - DAU,Android,4
2022-12-05,App Session - DAU,iOS,2
2022-12-05,App Session - DAU,iPadOS,0
2022-12-05,App Session - DAU,macOS,0
2022-12-06,App Session - DAU,Android,2
2022-12-06,App Session - DAU,iOS,0
2022-12-06,App Session - DAU,iPadOS,0
2022-12-06,App Session - DAU,macOS,0
2022-12-07,App Session - DAU,Android,3
2022-12-07,App Session - DAU,iOS,1
2022-12-07,App Session - DAU,iPadOS,0
2022-12-07,App Session - DAU,macOS,0
2022-12-08,App Session - DAU,Android,4
2022-12-08,App Session - DAU,iOS,2
2022-12-08,App Session - DAU,iPadOS,0
2022-12-08,App Session - DAU,macOS,0
2022-12-09,App Session - DAU,Android,3
2022-12-09,App Session - DAU,iOS,1
2022-12-09,App Session - DAU,iPadOS,0
2022-12-09,App Session - DAU,macOS,0
2022-12-10,App Session - DAU,Android,7
2022-12-10,App Session - DAU,iOS,1
2022-12-10,App Session - DAU,iPadOS,0
2022-12-10,App Session - DAU,macOS,0
2022-12-11,App Session - DAU,Android,3
2022-12-11,App Session - DAU,iOS,1
2022-12-11,App Session - DAU,iPadOS,0
2022-12-11,App Session - DAU,macOS,0
2022-12-12,App Session - DAU,Android,1
2022-12-12,App Session - DAU,iOS,0
2022-12-12,App Session - DAU,iPadOS,0
2022-12-12,App Session - DAU,macOS,0
2022-12-13,App Session - DAU,Android,3
2022-12-13,App Session - DAU,iOS,1
2022-12-13,App Session - DAU,iPadOS,0
2022-12-13,App Session - DAU,macOS,0
2022-12-14,App Session - DAU,Android,6
2022-12-14,App Session - DAU,iOS,1
2022-12-14,App Session - DAU,iPadOS,0
2022-12-14,App Session - DAU,macOS,0
2022-12-15,App Session - DAU,Android,3
2022-12-15,App Session - DAU,iOS,1
2022-12-15,App Session - DAU,iPadOS,0
2022-12-15,App Session - DAU,macOS,0
2022-12-16,App Session - DAU,Android,4
2022-12-16,App Session - DAU,iOS,1
2022-12-16,App Session - DAU,iPadOS,0
2022-12-16,App Session - DAU,macOS,0
2022-12-17,App Session - DAU,Android,3
2022-12-17,App Session - DAU,iOS,1
2022-12-17,App Session - DAU,iPadOS,0
2022-12-17,App Session - DAU,macOS,0
2022-12-18,App Session - DAU,Android,4
2022-12-18,App Session - DAU,iOS,0
2022-12-18,App Session - DAU,iPadOS,0
2022-12-18,App Session - DAU,macOS,0
2022-12-19,App Session - DAU,Android,7
2022-12-19,App Session - DAU,iOS,1
2022-12-19,App Session - DAU,iPadOS,0
2022-12-19,App Session - DAU,macOS,0
2022-12-20,App Session - DAU,Android,6
2022-12-20,App Session - DAU,iOS,1
2022-12-20,App Session - DAU,iPadOS,0
2022-12-20,App Session - DAU,macOS,1
2022-12-21,App Session - DAU,Android,6
2022-12-21,App Session - DAU,iOS,2
2022-12-21,App Session - DAU,iPadOS,0
2022-12-21,App Session - DAU,macOS,0
2022-12-22,App Session - DAU,Android,5
2022-12-22,App Session - DAU,iOS,3
2022-12-22,App Session - DAU,iPadOS,0
2022-12-22,App Session - DAU,macOS,0
2022-12-23,App Session - DAU,Android,3
2022-12-23,App Session - DAU,iOS,0
2022-12-23,App Session - DAU,iPadOS,0
2022-12-23,App Session - DAU,macOS,0
2022-12-24,App Session - DAU,Android,3
2022-12-24,App Session - DAU,iOS,1
2022-12-24,App Session - DAU,iPadOS,0
2022-12-24,App Session - DAU,macOS,0
2022-12-25,App Session - DAU,Android,4
2022-12-25,App Session - DAU,iOS,0
2022-12-25,App Session - DAU,iPadOS,0
2022-12-25,App Session - DAU,macOS,0
2022-12-26,App Session - DAU,Android,5
2022-12-26,App Session - DAU,iOS,1
2022-12-26,App Session - DAU,iPadOS,0
2022-12-26,App Session - DAU,macOS,0
2022-12-27,App Session - DAU,Android,3
2022-12-27,App Session - DAU,iOS,2
2022-12-27,App Session - DAU,iPadOS,0
2022-12-27,App Session - DAU,macOS,0
2022-12-28,App Session - DAU,Android,3
2022-12-28,App Session - DAU,iOS,4
2022-12-28,App Session - DAU,iPadOS,0
2022-12-28,App Session - DAU,macOS,0
2022-12-29,App Session - DAU,Android,3
2022-12-29,App Session - DAU,iOS,2
2022-12-29,App Session - DAU,iPadOS,0
2022-12-29,App Session - DAU,macOS,0
2022-12-30,App Session - DAU,Android,4
2022-12-30,App Session - DAU,iOS,4
2022-12-30,App Session - DAU,iPadOS,1
2022-12-30,App Session - DAU,macOS,0
2022-12-31,App Session - DAU,Android,2
2022-12-31,App Session - DAU,iOS,0
2022-12-31,App Session - DAU,iPadOS,0
2022-12-31,App Session - DAU,macOS,0
2023-01-01,App Session - DAU,Android,2
2023-01-01,App Session - DAU,iOS,1
2023-01-01,App Session - DAU,iPadOS,0
2023-01-01,App Session - DAU,macOS,0
2023-01-02,App Session - DAU,Android,2
2023-01-02,App Session - DAU,iOS,2
2023-01-02,App Session - DAU,iPadOS,0
2023-01-02,App Session - DAU,macOS,0
2023-01-03,App Session - DAU,Android,4
2023-01-03,App Session - DAU,iOS,0
2023-01-03,App Session - DAU,iPadOS,0
2023-01-03,App Session - DAU,macOS,0
2023-01-04,App Session - DAU,Android,3
2023-01-04,App Session - DAU,iOS,0
2023-01-04,App Session - DAU,iPadOS,0
2023-01-04,App Session - DAU,macOS,0
2023-01-05,App Session - DAU,Android,1
2023-01-05,App Session - DAU,iOS,1
2023-01-05,App Session - DAU,iPadOS,0
2023-01-05,App Session - DAU,macOS,0
2023-01-06,App Session - DAU,Android,1
